casa,house
uomo,man
donna,woman
bambino,child
giorno,day
notte,night
tempo,time
anno,year
vita,life
mano,hand
occhio,eye
amico,friend
lavoro,work
scuola,school
strada,street
città,city
paese,country
mare,sea
montagna,mountain
sole,sun
luna,moon
stella,star
cielo,sky
acqua,water
fuoco,fire
terra,earth
aria,air
famiglia,family
madre,mother
padre,father
fratello,brother
sorella,sister
cane,dog
gatto,cat
libro,book
lettera,letter
parola,word
lingua,language
cuore,heart
testa,head
piede,foot
mese,month
settimana,week
ora,hour
minuto,minute
secondo,second
storia,story
musica,music
film,movie
