Italian,English
essere,to be
avere,to have
fare,to do/make
dire,to say
andare,to go
potere,can/to be able to
vedere,to see
dare,to give
sapere,to know
volere,to want
parlare,to speak
trovare,to find
pensare,to think
guardare,to watch/look
chiedere,to ask
sentire,to hear/feel
lasciare,to leave
lavorare,to work
vivere,to live
credere,to believe
portare,to bring
usare,to use
arrivare,to arrive
mettere,to put
tenere,to keep/hold
diventare,to become
scrivere,to write
leggere,to read
aprire,to open
chiudere,to close
correre,to run
camminare,to walk
mangiare,to eat
bere,to drink
comprare,to buy
pagare,to pay
dormire,to sleep
studiare,to study
giocare,to play
amare,to love
odiare,to hate
buono,good
grande,big
nuovo,new
vecchio,old
giovane,young
alto,tall/high
basso,short/low
bello,beautiful
brutto,ugly
cattivo,bad
piccolo,small
lungo,long
breve,short
facile,easy
difficile,difficult
veloce,fast
lento,slow
vero,true
falso,false
forte,strong
debole,weak
caldo,hot
freddo,cold
chiaro,clear/light
scuro,dark
ricco,rich
povero,poor
felice,happy
triste,sad
interessante,interesting
noioso,boring
giusto,right/correct
sbagliato,wrong
importante,important
necessario,necessary
possibile,possible
impossibile,impossible
casa,house
uomo,man
donna,woman
bambino,child
giorno,day
notte,night
tempo,time
anno,year
vita,life
mano,hand
occhio,eye
amico,friend
lavoro,work
scuola,school
strada,street
città,city
paese,country
mare,sea
montagna,mountain
sole,sun
luna,moon
stella,star
cielo,sky
acqua,water
fuoco,fire
terra,earth
aria,air
famiglia,family
madre,mother
padre,father
fratello,brother
sorella,sister
cane,dog
gatto,cat
libro,book
lettera,letter
parola,word
lingua,language
cuore,heart
testa,head
piede,foot
mese,month
settimana,week
ora,hour
minuto,minute
secondo,second
storia,story
musica,music
film,movie
macchina,car
treno,train
aereo,airplane
soldi,money
negozio,shop
mercato,market
porta,door
finestra,window
sedia,chair
tavolo,table
letto,bed
stanza,room
cucina,kitchen
bagno,bathroom
chiesa,church
ospedale,hospital
ufficio,office
giardino,garden
fiore,flower
albero,tree
frutto,fruit
pane,bread
latte,milk
vino,wine
birra,beer
caffè,coffee
tè,tea
colore,color
nome,name
numero,number
amore,love
paura,fear
gioia,joy
tristezza,sadness
guerra,war
pace,peace
gioco,game
sport,sport
tempo,weather/time
essere,to be
avere,to have
fare,to do/make
dire,to say
andare,to go
potere,can/to be able to
vedere,to see
dare,to give
sapere,to know
volere,to want
parlare,to speak
trovare,to find
pensare,to think
guardare,to watch/look
chiedere,to ask
sentire,to hear/feel
lasciare,to leave
lavorare,to work
vivere,to live
credere,to believe
portare,to bring
usare,to use
arrivare,to arrive
mettere,to put
tenere,to keep/hold
diventare,to become
scrivere,to write
leggere,to read
aprire,to open
chiudere,to close
correre,to run
camminare,to walk
mangiare,to eat
bere,to drink
comprare,to buy
pagare,to pay
dormire,to sleep
studiare,to study
giocare,to play
amare,to love
odiare,to hate
buono,good
grande,big
nuovo,new
vecchio,old
giovane,young
alto,tall/high
basso,short/low
bello,beautiful
brutto,ugly
cattivo,bad
piccolo,small
lungo,long
breve,short
facile,easy
difficile,difficult
veloce,fast
lento,slow
vero,true
falso,false
forte,strong
debole,weak
caldo,hot
freddo,cold
chiaro,clear/light
scuro,dark
ricco,rich
povero,poor
felice,happy
triste,sad
interessante,interesting
noioso,boring
giusto,right/correct
sbagliato,wrong
importante,important
necessario,necessary
possibile,possible
impossibile,impossible
casa,house
uomo,man
donna,woman
bambino,child
giorno,day
notte,night
tempo,time
anno,year
vita,life
mano,hand
occhio,eye
amico,friend
lavoro,work
scuola,school
strada,street
città,city
paese,country
mare,sea
montagna,mountain
sole,sun
luna,moon
stella,star
cielo,sky
acqua,water
fuoco,fire
terra,earth
aria,air
famiglia,family
madre,mother
padre,father
fratello,brother
sorella,sister
cane,dog
gatto,cat
libro,book
lettera,letter
parola,word
lingua,language
cuore,heart
testa,head
piede,foot
mese,month
settimana,week
ora,hour
minuto,minute
secondo,second
storia,story
musica,music
film,movie
macchina,car
treno,train
aereo,airplane
soldi,money
negozio,shop
mercato,market
porta,door
finestra,window
sedia,chair
tavolo,table
letto,bed
stanza,room
cucina,kitchen
bagno,bathroom
chiesa,church
ospedale,hospital
ufficio,office
giardino,garden
fiore,flower
albero,tree
frutto,fruit
pane,bread
latte,milk
vino,wine
birra,beer
caffè,coffee
tè,tea
colore,color
nome,name
numero,number
amore,love
paura,fear
gioia,joy
tristezza,sadness
guerra,war
pace,peace
gioco,game
sport,sport
tempo,weather/time
essere,to be
avere,to have
fare,to do/make
dire,to say
andare,to go
potere,can/to be able to
vedere,to see
dare,to give
sapere,to know
volere,to want
parlare,to speak
trovare,to find
pensare,to think
guardare,to watch/look
chiedere,to ask
sentire,to hear/feel
lasciare,to leave
lavorare,to work
vivere,to live
credere,to believe
portare,to bring
usare,to use
arrivare,to arrive
mettere,to put
tenere,to keep/hold
diventare,to become
scrivere,to write
leggere,to read
aprire,to open
chiudere,to close
correre,to run
camminare,to walk
mangiare,to eat
bere,to drink
comprare,to buy
pagare,to pay
dormire,to sleep
studiare,to study
giocare,to play
amare,to love
odiare,to hate
buono,good
grande,big
nuovo,new
vecchio,old
giovane,young
alto,tall/high
basso,short/low
bello,beautiful
brutto,ugly
cattivo,bad
piccolo,small
lungo,long
breve,short
facile,easy
difficile,difficult
veloce,fast
lento,slow
vero,true
falso,false
forte,strong
debole,weak
caldo,hot
freddo,cold
chiaro,clear/light
scuro,dark
ricco,rich
povero,poor
felice,happy
triste,sad
interessante,interesting
noioso,boring
giusto,right/correct
sbagliato,wrong
importante,important
necessario,necessary
possibile,possible
impossibile,impossible
casa,house
uomo,man
donna,woman
bambino,child
giorno,day
notte,night
tempo,time
anno,year
vita,life
mano,hand
occhio,eye
amico,friend
lavoro,work
scuola,school
